listen_id,vehicle_id,timestamp,artist,track,genre,duration_sec,skip,explicit_like,play_count,time_of_day,day_of_week
listen_000000,vehicle_065,2024-05-27 21:39:00,Wu-Tang Clan,Bad Boy Tenor,Blues,273,0,0,24,Night,Weekday
listen_000001,vehicle_033,2024-05-30 02:46:00,Fifth Harmony,Never Never Never,Disco,296,0,0,32,Night,Weekday
listen_000002,vehicle_044,2024-02-16 11:25:00,Isaiah Rashad,(Do You Wanna) Come Walk With Me?,Latin,218,0,0,5,Morning,Weekday
listen_000003,vehicle_027,2024-01-14 04:18:00,Enrique Iglesias,Joining a Fan Club,Classical,181,0,1,9,Night,Weekend
listen_000004,vehicle_037,2024-11-17 15:12:00,Jamie Woon,Mata Hari,Techno,128,1,0,47,Afternoon,Weekend
listen_000005,vehicle_020,2024-10-09 18:02:00,Fantan Mojah,Blue Wings,Punk,229,0,0,3,Evening,Weekday
listen_000006,vehicle_049,2024-09-01 01:41:00,The Him,Drunk in Love (feat. JAY Z),Jazz,252,1,0,37,Night,Weekend
listen_000007,vehicle_036,2024-02-22 14:49:00,I DONT KNOW HOW BUT THEY FOUND ME,Neon Rainbow - Remastered,Jazz,160,0,1,47,Afternoon,Weekday
listen_000008,vehicle_057,2024-10-19 19:19:00,Groundation,i miss u - VIZE Remix,Disco,209,1,1,35,Evening,Weekend
listen_000009,vehicle_097,2024-05-31 18:17:00,Poldoore,Satellites,Indie,283,1,0,40,Evening,Weekday
listen_000010,vehicle_066,2024-05-29 17:33:00,Kairiki Bear,...Baby One More Time,Blues,172,0,0,31,Evening,Weekday
listen_000011,vehicle_002,2024-07-13 12:12:00,James Yuill,Round Round,Techno,122,1,0,41,Afternoon,Weekend
listen_000012,vehicle_059,2024-06-04 17:39:00,The Box Tops,Money Talks (feat. Dave),Hip Hop,175,0,0,27,Evening,Weekday
listen_000013,vehicle_051,2024-07-21 10:57:00,Irene Cara,I'll Never Love Again - Extended Version,Jazz,292,0,1,37,Morning,Weekend
listen_000014,vehicle_013,2024-08-20 07:41:00,Loyle Carner,Shake Your Libido,R&B,276,1,0,24,Morning,Weekday
listen_000015,vehicle_017,2024-05-15 23:14:00,Meph luciano,Henry Lee (feat. PJ Harvey) - 2011 Remastered Version,Alternative,252,0,1,39,Night,Weekday
listen_000016,vehicle_036,2024-05-24 08:22:00,Tim Green,Double Edge,Electronic,214,0,0,41,Morning,Weekday
listen_000017,vehicle_092,2024-11-09 22:47:00,Griff,Into,Folk,181,0,1,28,Night,Weekend
listen_000018,vehicle_055,2024-01-21 08:08:00,Bou,Gold Rush,Reggae,254,1,0,44,Morning,Weekend
listen_000019,vehicle_059,2024-01-13 06:42:00,Charlie Sloth,Somebody - Remix,Country,250,1,0,18,Morning,Weekend
listen_000020,vehicle_032,2024-10-10 06:41:00,Bill Callahan,Rio de Janeiro,Disco,294,0,0,42,Morning,Weekday
listen_000021,vehicle_077,2024-11-04 10:39:00,Fat Joe,II,Classical,241,0,0,38,Morning,Weekday
listen_000022,vehicle_059,2024-02-17 17:24:00,Goody Grace,GROWING PAINS,Hip Hop,178,0,0,37,Evening,Weekend
listen_000023,vehicle_005,2024-01-06 14:29:00,Future Utopia,Cool (Razz Tape),Jazz,139,0,0,45,Afternoon,Weekend
listen_000024,vehicle_079,2024-06-27 14:11:00,FKJ,Tide,Disco,228,0,1,35,Afternoon,Weekday
listen_000025,vehicle_019,2024-11-21 05:15:00,James Yuill,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",Electronic,277,0,0,5,Morning,Weekday
listen_000026,vehicle_065,2024-12-06 02:55:00,Faouzia,Gallis,Jazz,287,0,0,11,Night,Weekday
listen_000027,vehicle_062,2024-07-15 14:41:00,Lesley Gore,Heaven Must Be Missing An Angel - Pt. 1,Reggae,206,0,0,8,Afternoon,Weekday
listen_000028,vehicle_033,2024-03-01 01:13:00,Kairiki Bear,Fight,Folk,134,0,0,32,Night,Weekday
listen_000029,vehicle_023,2024-08-13 19:36:00,Puri,Down Boy - Radio Edit,Alternative,281,1,0,43,Evening,Weekday
listen_000030,vehicle_080,2024-07-22 16:30:00,Romain Virgo,The New Normal,Indie,163,0,0,36,Afternoon,Weekday
listen_000031,vehicle_028,2024-07-02 15:46:00,Freya Ridings,Video Boys,Disco,206,1,1,33,Afternoon,Weekday
listen_000032,vehicle_003,2024-09-25 11:41:00,Sahar Z,Somebody - Live in Liverpool,Jazz,137,1,1,6,Morning,Weekday
listen_000033,vehicle_062,2024-05-18 19:46:00,Thundercat,Kees de kapper,House,159,1,0,7,Evening,Weekend
listen_000034,vehicle_057,2024-12-13 05:16:00,Dan Kye,Yini - Serge Devant Remix,Electronic,246,0,0,5,Morning,Weekday
listen_000035,vehicle_059,2024-01-13 16:07:00,Shinigami,Chains And Things,Hip Hop,154,0,0,33,Afternoon,Weekend
listen_000036,vehicle_054,2024-01-09 17:24:00,Mayo,Bike,Classical,229,0,0,32,Evening,Weekday
listen_000037,vehicle_065,2024-05-16 12:57:00,Popcaan,Still Go a Dance,Hip Hop,213,0,0,44,Afternoon,Weekday
listen_000038,vehicle_097,2024-01-05 21:53:00,Dan Kye,Days of Stone,Hip Hop,175,1,0,34,Night,Weekday
listen_000039,vehicle_034,2024-05-31 08:49:00,Summer Walker,Good in Bed,Pop,298,0,1,31,Morning,Weekday
listen_000040,vehicle_088,2024-10-15 10:05:00,Reggae Roast,If you don't know me by now (feat. Teddy Pendergrass),Electronic,131,0,0,23,Morning,Weekday
listen_000041,vehicle_032,2024-08-22 09:14:00,Nina Kraviz,Rock & Groove,Electronic,192,0,0,48,Morning,Weekday
listen_000042,vehicle_092,2024-10-21 09:42:00,Andrés Cotter,Severed Head (feat. Goldlink and Unknown Mortal Orchestra),Folk,230,0,0,37,Morning,Weekday
listen_000043,vehicle_004,2024-03-28 16:25:00,Kelsy Karter,23,Techno,281,0,0,11,Afternoon,Weekday
listen_000044,vehicle_079,2024-05-25 22:34:00,Ian Taylor,Let Me Down,Blues,121,1,0,36,Night,Weekend
listen_000045,vehicle_095,2024-05-02 23:11:00,Mono,Days of Stone,Jazz,195,0,1,11,Night,Weekday
listen_000046,vehicle_022,2024-08-13 17:29:00,serpentwithfeet,"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato",Country,234,0,0,25,Evening,Weekday
listen_000047,vehicle_092,2024-03-02 15:36:00,Maurizzio,Without Love,Pop,249,0,0,7,Afternoon,Weekend
listen_000048,vehicle_026,2024-03-31 10:55:00,Rudimental,Dil Chahiye,R&B,151,1,0,26,Morning,Weekend
listen_000049,vehicle_052,2024-07-09 00:58:00,Jorja Smith,I Won't Let the Sun Go Down on Me,Jazz,220,0,1,47,Night,Weekday
listen_000050,vehicle_037,2024-08-07 17:29:00,Kelsy Karter,She Came II Give It II U (feat. Nicki Minaj),Punk,230,0,0,3,Evening,Weekday
listen_000051,vehicle_057,2024-05-03 07:55:00,The Aggrolites,GASLIGHT!,House,171,0,1,6,Morning,Weekday
listen_000052,vehicle_054,2024-11-20 05:14:00,Sahar Z,Falling Apart,Rock,275,0,0,37,Morning,Weekday
listen_000053,vehicle_077,2024-08-29 05:13:00,Kairiki Bear,Alive,Soul,238,0,1,24,Morning,Weekday
listen_000054,vehicle_016,2024-02-02 14:40:00,A Tribe Called Quest,Collateral Damage,Alternative,275,0,0,23,Afternoon,Weekday
listen_000055,vehicle_073,2024-04-17 14:56:00,Faces,Pull Up,Disco,237,0,0,37,Afternoon,Weekday
listen_000056,vehicle_070,2024-04-18 15:08:00,Amanda Mair,Honey,Punk,234,0,1,15,Afternoon,Weekday
listen_000057,vehicle_058,2024-07-29 19:49:00,Vinil,Take Care of the Proper Paperwork,Jazz,214,0,0,32,Evening,Weekday
listen_000058,vehicle_029,2024-04-09 00:16:00,Jellyfish,Mama Gecko,Reggae,184,0,0,41,Night,Weekday
listen_000059,vehicle_035,2024-07-07 14:55:00,Machel Montano,No Enema,Punk,210,0,0,36,Afternoon,Weekend
listen_000060,vehicle_090,2024-09-13 11:38:00,Bicep,Wired/Weird,Jazz,144,1,0,24,Morning,Weekday
listen_000061,vehicle_024,2024-10-09 23:38:00,Summer Walker,Lost - Roberto Capuano Remix,Metal,145,0,0,32,Night,Weekday
listen_000062,vehicle_048,2024-09-21 22:42:00,Dionne Warwick,Week In Week Out,Pop,217,0,0,44,Night,Weekend
listen_000063,vehicle_001,2024-05-21 05:49:00,Mr. Vegas,Rock & Groove,Techno,241,0,0,20,Morning,Weekday
listen_000064,vehicle_039,2024-07-29 10:51:00,Shaggy,Strange Timez (feat. Robert Smith),Alternative,196,0,0,11,Morning,Weekday
listen_000065,vehicle_050,2024-08-25 15:28:00,Faouzia,Destiny,Classical,203,0,0,33,Afternoon,Weekend
listen_000066,vehicle_084,2024-07-23 23:23:00,Sergei Rachmaninoff,Giddem,Folk,193,0,0,26,Night,Weekday
listen_000067,vehicle_019,2024-06-16 08:30:00,Alesso,Balcumbia,Blues,145,0,1,38,Morning,Weekend
listen_000068,vehicle_084,2024-02-19 23:04:00,Mayo,Ik Heb Geblowd,Jazz,257,0,0,20,Night,Weekday
listen_000069,vehicle_032,2024-01-01 07:03:00,Dawn Richard,ピースサイン,House,173,0,0,19,Morning,Weekday
listen_000070,vehicle_011,2024-01-07 19:41:00,FKJ,Roman Candles,Rock,165,0,1,9,Evening,Weekend
listen_000071,vehicle_027,2024-06-19 16:48:00,Studio Vibe,No Enema,Disco,252,0,1,12,Afternoon,Weekday
listen_000072,vehicle_025,2024-06-11 21:30:00,Shehnaz Kaur Gill,Young Europeans,Disco,152,0,0,14,Night,Weekday
listen_000073,vehicle_049,2024-01-17 17:20:00,Studio Vibe,Rhapsody in Blue,Classical,166,1,0,9,Evening,Weekday
listen_000074,vehicle_054,2024-08-22 00:09:00,Alesso,Es Amor (What Is Love) (feat. Nicky Jam & Emy Perez),Electronic,201,0,0,21,Night,Weekday
listen_000075,vehicle_076,2024-09-22 04:06:00,dodie,Somebody,Hip Hop,208,0,0,4,Night,Weekend
listen_000076,vehicle_025,2024-04-26 01:27:00,The MookMann,Ye,Punk,299,1,0,26,Night,Weekday
listen_000077,vehicle_038,2024-07-29 01:15:00,Puri,Ain't No Sunshine,Punk,159,0,0,27,Night,Weekday
listen_000078,vehicle_029,2024-11-24 13:04:00,Monkey Safari,Heaven Meets Earth,Soul,280,1,1,17,Afternoon,Weekend
listen_000079,vehicle_028,2024-02-11 13:10:00,ZyniC,Girl (feat. KAYTRANADA),Latin,172,1,0,34,Afternoon,Weekend
listen_000080,vehicle_053,2024-01-20 11:13:00,Autechre,Wherever You Will Go,Indie,201,0,0,14,Morning,Weekend
listen_000081,vehicle_032,2024-04-05 14:40:00,The MookMann,Désolé (feat. Fatoumata Diawara) - Extended Version,Alternative,175,0,0,32,Afternoon,Weekday
listen_000082,vehicle_061,2024-06-01 12:41:00,Tim Green,Sundown,House,182,1,0,35,Afternoon,Weekend
listen_000083,vehicle_056,2024-03-09 22:14:00,MOD SUN,Knife Under My Pillow,Soul,253,1,1,17,Night,Weekend
listen_000084,vehicle_051,2024-10-07 01:38:00,HONNE,Bebo,Classical,225,1,0,46,Night,Weekday
listen_000085,vehicle_048,2024-12-15 16:38:00,Gabriella Cilmi,Slowmotion,Alternative,164,0,1,46,Afternoon,Weekend
listen_000086,vehicle_082,2024-03-27 15:39:00,BACK-ON,buzz cut (feat. MisterWives),Rock,181,1,0,43,Afternoon,Weekday
listen_000087,vehicle_069,2024-06-14 07:07:00,Calvin Harris,Piss Up a Rope,Latin,288,1,0,38,Morning,Weekday
listen_000088,vehicle_058,2024-11-21 23:52:00,Marshmello,WANTED PT2,Soul,243,1,0,39,Night,Weekday
listen_000089,vehicle_049,2024-07-13 06:23:00,Sam Cooke,Cool For A Second,Punk,207,1,0,35,Morning,Weekend
listen_000090,vehicle_019,2024-08-16 02:23:00,Al Green,Killer,Punk,177,0,0,19,Night,Weekday
listen_000091,vehicle_031,2024-04-08 18:01:00,Goat Girl,Genius,Punk,135,0,0,11,Evening,Weekday
listen_000092,vehicle_080,2024-02-20 14:04:00,Carmen Waterslaeghers,69,R&B,165,0,0,1,Afternoon,Weekday
listen_000093,vehicle_093,2024-06-08 17:54:00,SOJA,Too Much (feat. Imanbek & Usher) - Alle Farben Remix,House,231,0,0,18,Evening,Weekend
listen_000094,vehicle_091,2024-06-20 03:45:00,Sango,Worry,Hip Hop,239,0,0,19,Night,Weekday
listen_000095,vehicle_047,2024-03-05 18:29:00,Four Tops,Come Back,Rock,227,1,1,49,Evening,Weekday
listen_000096,vehicle_019,2024-07-17 02:08:00,Alborosie,Done Know,Metal,218,0,0,24,Night,Weekday
listen_000097,vehicle_093,2024-08-25 18:16:00,All Saints,Take Five,Reggae,163,0,0,43,Evening,Weekend
listen_000098,vehicle_099,2024-05-31 07:25:00,Mahalia,Bruises,Alternative,232,1,0,32,Morning,Weekday
listen_000099,vehicle_031,2024-07-03 06:46:00,Simon & Garfunkel,A Place Like This,Punk,230,1,0,11,Morning,Weekday
listen_000100,vehicle_064,2024-01-04 23:38:00,Faces,Love You,Indie,242,0,0,11,Night,Weekday
listen_000101,vehicle_065,2024-06-03 21:56:00,[Alexandros],Colomb,Jazz,199,1,0,23,Night,Weekday
listen_000102,vehicle_001,2024-02-15 22:42:00,Summer Walker,Yini - Serge Devant Remix,Metal,196,0,0,5,Night,Weekday
listen_000103,vehicle_099,2024-06-27 23:39:00,Kygo,African Giant,Reggae,142,1,0,35,Night,Weekday
listen_000104,vehicle_043,2024-05-24 22:21:00,Dionne Warwick,Like That (feat. Gucci Mane),Disco,290,0,0,5,Night,Weekday
listen_000105,vehicle_027,2024-09-27 07:45:00,Dagny,Don't Bother Calling,Alternative,142,0,0,10,Morning,Weekday
listen_000106,vehicle_086,2024-11-02 02:54:00,Always You,Monie In The Middle,Techno,149,0,0,4,Night,Weekend
listen_000107,vehicle_069,2024-10-06 22:52:00,Ann Sexton,Barking,Soul,278,1,0,47,Night,Weekend
listen_000108,vehicle_023,2024-07-19 15:27:00,Four Tops,Shackles (Praise You),Pop,129,0,0,14,Afternoon,Weekday
listen_000109,vehicle_055,2024-07-29 02:43:00,All Saints,Lockdown Blues,Electronic,126,0,0,47,Night,Weekday
listen_000110,vehicle_029,2024-02-02 18:50:00,Ramz,Baila Esta Cumbia,Rock,163,1,1,48,Evening,Weekday
listen_000111,vehicle_020,2024-11-23 05:51:00,The Ballad Bombs,Gum Body (feat. Jorja Smith),Reggae,292,0,1,32,Morning,Weekend
listen_000112,vehicle_096,2024-09-22 11:14:00,Gentleman's Dub Club,Bad Boy Tenor,R&B,125,1,0,16,Morning,Weekend
listen_000113,vehicle_001,2024-07-22 13:59:00,Lila Iké,Psyche,Electronic,201,0,0,12,Afternoon,Weekday
listen_000114,vehicle_053,2024-08-19 01:00:00,Rat City,Lisbon,Pop,231,1,0,39,Night,Weekday
listen_000115,vehicle_076,2024-05-05 23:20:00,Chet Faker,Move,Blues,286,1,0,32,Night,Weekend
listen_000116,vehicle_026,2024-11-19 01:57:00,Madison Avenue,Shackles (Praise You),Punk,267,0,1,21,Night,Weekday
listen_000117,vehicle_072,2024-02-12 03:57:00,MOD SUN,30 Hours,Disco,137,0,0,40,Night,Weekday
listen_000118,vehicle_089,2024-04-22 11:35:00,Brent Faiyaz,Subterranean Desire,Blues,133,1,0,39,Morning,Weekday
listen_000119,vehicle_038,2024-12-25 23:58:00,FKJ,The Right Man,Soul,121,1,0,44,Night,Weekday
listen_000120,vehicle_061,2024-02-04 07:24:00,Baio,Grace Kelly,Country,198,0,0,30,Morning,Weekend
listen_000121,vehicle_065,2024-01-04 11:22:00,Pale Waves,Let's Get Loud,Hip Hop,144,0,0,12,Morning,Weekday
listen_000122,vehicle_074,2024-11-28 00:41:00,Rodríguez,Ready or Not,Pop,235,0,1,18,Night,Weekday
listen_000123,vehicle_051,2024-05-29 21:45:00,S Club 7,灰色と青 ( + 菅田将暉 ),Disco,292,0,1,33,Night,Weekday
listen_000124,vehicle_020,2024-11-27 14:48:00,Save Face,Dead Hand Control,R&B,166,0,0,48,Afternoon,Weekday
listen_000125,vehicle_095,2024-11-02 21:07:00,Foo Fighters,Suspect Fled The Scene,Alternative,287,0,0,24,Night,Weekend
listen_000126,vehicle_003,2024-05-04 14:57:00,BLACKPINK,Spain (The Industrial Era),Pop,231,0,0,46,Afternoon,Weekend
listen_000127,vehicle_094,2024-07-24 22:45:00,ONE OK ROCK,The Rat,Disco,190,0,0,46,Night,Weekday
listen_000128,vehicle_060,2024-10-07 15:09:00,Maxi Priest,Calling All Hearts (feat. Robin Thicke & Jessie J),Classical,205,0,0,13,Afternoon,Weekday
listen_000129,vehicle_067,2024-12-09 01:23:00,Gabriella Cilmi,California World,Rock,123,0,0,24,Night,Weekday
listen_000130,vehicle_096,2024-11-17 00:58:00,Nao,Daylight Savings Time,Blues,174,0,0,4,Night,Weekend
listen_000131,vehicle_059,2024-07-20 10:05:00,Nick Cave & the Bad Seeds,Beggin (Original Version),Electronic,185,0,0,19,Morning,Weekend
listen_000132,vehicle_022,2024-09-20 02:58:00,Billy Talent,Different (feat. Damian Marley & Angelique Kidjo),Techno,154,0,0,17,Night,Weekday
listen_000133,vehicle_062,2024-08-06 03:10:00,Black M,"Bad Boys de Marseille, Pt. 2 (feat. Shurik'n)",Punk,292,1,0,27,Night,Weekday
listen_000134,vehicle_056,2024-03-20 19:20:00,Stephane 1993,Stop It,Classical,289,0,0,29,Evening,Weekday
listen_000135,vehicle_055,2024-05-22 10:34:00,Ben E. King,Let's Get Loud,Metal,216,0,1,19,Morning,Weekday
listen_000136,vehicle_063,2024-11-08 11:02:00,M-Beat,Holding Back the Years - 2008 Remaster,Latin,231,1,0,5,Morning,Weekday
listen_000137,vehicle_010,2024-10-15 09:36:00,Lootpack,Chemtrails Over the Country Club,Classical,291,0,0,26,Morning,Weekday
listen_000138,vehicle_027,2024-04-22 03:12:00,Nayana Iz,Rebecca You - Lockdown Sessions,R&B,261,0,0,7,Night,Weekday
listen_000139,vehicle_085,2024-12-25 13:57:00,Luniz,1+1,Soul,211,0,0,48,Afternoon,Weekday
listen_000140,vehicle_053,2024-09-20 08:59:00,Summer Walker,Alive,Metal,195,1,0,41,Morning,Weekday
listen_000141,vehicle_002,2024-07-05 13:50:00,Meph luciano,Gota Fría,R&B,260,0,0,26,Afternoon,Weekday
listen_000142,vehicle_034,2024-10-27 01:47:00,Jax Jones,Qute,Alternative,136,0,0,9,Night,Weekend
listen_000143,vehicle_046,2024-02-15 20:14:00,Blanco,Old Friends,Pop,148,0,0,2,Evening,Weekday
